氏名,ふりがな,住所,緯度,経度,年齢,性別,前職業界コード,生年月日,電話番号,通勤手段,希望通勤時間,予想事業所受取時給,予想支払時給,希望勤務時間
山本 大樹,やまもと たいき,神奈川県横浜市都筑区荏田南2-1-13,33.24996,130.29851,49歳,男,A,1973-09-13,050-3192-8062,バス,80,1500,2600,2
堀内 雅明,ほりうち まさあき,静岡県榛原郡吉田町神戸111,32.74450,129.87354,42歳,男,A,1981-02-05,070-2497-2559,自転車,30,1450,2300,9
堀田 智,ほった とも,東京都世田谷区砧2-1-7デュアル511,32.78942,130.74133,7歳,男,F,2015-11-30,050-4270-2443,電車,80,2000,2200,8
増川 由美子,ますかわ ゆみこ,福岡県北九州市八幡西区黒崎1-2-8レジオン602,33.23831,131.61212,15歳,女,R,2008-04-17,050-7792-3497,自転車,50,1250,2450,10
山下 京子,やました きょうこ,神奈川県相模原市南区上鶴間本町2-4-18,31.91173,131.42347,12歳,女,G,2010-08-15,050-0537-8513,自転車,130,1400,2450,2
朝倉 亮介,あさくら りょうすけ,千葉県松戸市古ケ崎2-1-11,31.56031,130.55876,31歳,男,E,1991-08-15,050-9565-7678,自転車,150,1100,2050,2
加藤 幸代,かとう ゆきよ,東京都新宿区西新宿3-2-3サングレート107,26.21225,127.6814,14歳,女,J,2008-09-16,050-1789-4982,バス,10,1050,2150,5
中西 朋子,なかにし ともこ,愛知県名古屋市中区大須2-3-4ニューライフ306,34.97649,138.38356,64歳,女,A,1958-09-18,070-8002-1613,電車,150,1700,2550,3
後藤 いづみ,ごとう いづみ,北海道札幌市中央区南七条西3-4-9,35.18028,136.9066,7歳,女,Q,2015-11-27,050-1287-3132,自転車,160,1750,2850,6
内海 正文,うつみ まさふみ,北海道札幌市手稲区西宮の沢四条3-1-109,34.73059,136.50897,57歳,男,T,1965-08-30,070-6169-7556,電車,40,1800,2700,2
渡辺 ともこ,わたなべ ともこ,千葉県市原市北国分寺台1-4-9,35.00485,135.86818,7歳,女,O,2015-07-08,070-4845-5912,電車,30,1500,2250,8
和田 真由子,わだ まゆこ,三重県鈴鹿市道伯3-3-8ルネ209,35.0213,135.75551,19歳,女,R,2003-09-13,070-9762-7392,徒歩,30,1550,2150,2
中山 千佳,なかやま ちか,愛知県清須市新清洲3-3-18,34.68676,135.52794,40歳,女,D,1982-08-26,070-3828-0837,バス,70,1200,2150,6
徳本 公明,とくもと こうめい,東京都台東区台東1-3-6,34.69184,135.18378,57歳,男,N,1965-09-24,070-7994-2694,電車,80,1200,2600,8
柴田 里美,しばた さとみ,静岡県静岡市清水区蒲原4-2-6,34.68543,135.83287,41歳,女,K,1982-05-02,080-0632-5628,徒歩,30,1200,2050,9
村上 友美,むらかみ ゆみ,北海道札幌市中央区南八条西2-5-7,34.22641,135.16763,7歳,女,N,2016-04-30,090-7879-0293,バス,150,2000,2400,2
山之内 治彦,やまのうち はるひこ,東京都足立区栗原1-2-309リベール808,35.50322,134.23855,48歳,男,B,1974-08-08,070-9102-5927,徒歩,60,1950,2400,7
荒川 直輝,あらかわ なおき,東京都国立市東2-3-808,35.47244,133.0501,28歳,男,E,1994-08-05,070-5465-3848,電車,20,1350,2950,5
小野 雅嗣,おの まさし,東京都中野区中野3-1-7,34.66143,133.93545,94歳,男,J,1929-05-14,050-3698-8961,電車,170,1100,2100,2
柳沢 えり,やなぎさわ えり,東京都調布市深大寺元町2-5-506ハーティネス807,34.39645,132.45924,40歳,女,L,1982-09-25,070-6422-4291,自転車,170,1250,2700,10
川西 紀男,かわにし のりお,鹿児島県鹿児島市東坂元3-5-904,34.18596,131.4717,32歳,男,B,1991-03-13,050-8320-7055,バス,80,1200,2900,7
佐々木 薫,ささき かおる,東京都豊島区西池袋1-5-1201,34.0653,134.55980,78歳,男,P,1944-08-29,050-3789-1208,バス,20,1700,2800,3
小島 浩子,こじま ひろこ,宮城県仙台市泉区向陽台2-4-16クレアヒルズ216,34.34089,134.0434,5歳,女,E,2018-01-31,050-4629-1963,バス,20,1250,2500,8
金子 正明,かねこ まさあき,埼玉県さいたま市浦和区上木崎2-2-16,33.84168,132.76688,49歳,男,R,1974-01-05,080-4861-7453,徒歩,70,1200,2700,7
伊藤 正貴,いとう まさたか,東京都墨田区墨田2-2-19,33.55927,133.53148,21歳,男,M,2001-07-30,090-2058-1443,自転車,100,1200,2500,3
水谷 雄太,みずたに ゆうた,大阪府大阪市中央区南船場1-3-10セザール307,33.60663,130.4182,75歳,男,E,1948-02-07,070-5013-1492,バス,20,1400,3000,4
吉永 健,よしなが けん,東京都台東区台東3-5-11,33.24972,130.29854,48歳,男,F,1975-04-16,050-3704-3180,バス,80,1950,2800,2
園田 清一,そのだ せいいち,東京都渋谷区広尾2-2-6,32.74431,129.87372,67歳,男,R,1955-06-11,070-9030-0664,自転車,80,1100,2100,6
竹内 誉,たけうち たかし,東京都杉並区高円寺南1-1-10,32.78982,130.74119,41歳,男,R,1982-05-05,080-1275-8232,電車,50,1200,2850,6
志賀 尚,しが なお,東京都文京区小石川2-3-8,33.23874,131.61270,4歳,男,G,2018-11-16,090-2033-7775,バス,10,1350,2150,4
新井 友則,あらい とものり,埼玉県越谷市南越谷3-4-16,31.91152,131.42397,0歳,男,G,2023-02-06,080-5321-1275,徒歩,10,1550,2800,1
渡辺 祐紀,わたなべ ゆうき,東京都北区東十条2-1-8,31.56082,130.55864,57歳,男,C,1966-01-08,050-9489-1942,自転車,30,1900,2900,3
重光 英恵,しげみつ はなえ,広島県福山市手城町3-1-3ドリームマンション216,26.2125,127.68198,91歳,女,I,1932-05-11,070-5286-8228,徒歩,110,1250,2050,9
高田 美奈子,たかだ みなこ,神奈川県川崎市川崎区小田2-4-7,34.97610,138.38374,46歳,女,A,1976-11-02,050-7426-3571,自転車,130,1900,2650,8
白戸 正寿,しらと まさとし,長野県飯田市知久町2-2-8,35.18034,136.90619,96歳,男,P,1926-07-13,090-0504-7985,徒歩,20,1550,2500,9
北川 彰,きたがわ あきら,岐阜県多治見市平野町3-1-9,34.73050,136.5087,70歳,男,Q,1952-08-28,070-4527-1440,電車,160,1250,2450,1
中村 静枝,なかむら しずえ,東京都港区港南1-3-8,35.00479,135.86866,79歳,女,Q,1943-06-24,090-9959-5383,徒歩,120,1300,2800,8
澤 弘史,さわ ひろふみ,東京都世田谷区等々力4-3-7,35.02188,135.75530,43歳,男,E,1979-12-10,070-0626-1913,徒歩,60,1600,2100,4
伏見 敏雄,ふしみ としお,東京都墨田区東向島3-3-6,34.68646,135.52733,92歳,その他・不明,H,1930-12-24,080-1331-1112,バス,40,1200,2050,7
山本 奨,やまもと しょう,福井県福井市日之出2-1-22,34.69162,135.18374,51歳,男,S,1971-09-12,050-4956-6087,徒歩,160,1200,2250,8
片桐 竜平,かたぎり りょうへい,鳥取県鳥取市若葉台北1-2-1002,34.68572,135.83282,48歳,男,D,1975-05-25,090-0366-6298,バス,20,1050,2850,9
毛利 英一,もうり えいいち,東京都足立区竹の塚3-2-12,34.22651,135.16743,30歳,男,B,1992-06-27,070-4349-0883,電車,150,1850,3000,4
坂田 健治,さかた けんじ,神奈川県綾瀬市落合北3-3-7,35.50327,134.23891,0歳,男,Q,2022-09-07,070-8341-6265,電車,150,1400,2800,9
新津 邦子,にいつ くにこ,新潟県新潟市西区坂井砂山3-2-1104,35.4723,133.05066,17歳,女,S,2006-05-03,050-7050-3653,バス,10,1950,2100,8
山根 比呂子,やまね ひろこ,埼玉県八潮市八潮1-3-4,34.66132,133.93522,85歳,女,D,1938-05-08,050-9255-9949,電車,40,1800,2050,4
沼田 美香,ぬまた みか,静岡県榛原郡吉田町神戸222,34.39623,132.45968,80歳,女,C,1943-04-13,090-7868-2638,自転車,70,1400,2750,6
水谷 尚子,みずたに なおこ,東京都東久留米市本町3-3-7レイセニット104,34.18560,131.47122,67歳,女,E,1956-02-06,070-2125-9852,自転車,20,1850,2750,6
川崎 岳人,かわさき たけと,北海道空知郡上富良野町丘町2-2-6,34.06572,134.55966,53歳,男,F,1969-11-11,080-7011-4628,バス,100,1600,2650,2
小倉 貴大,おぐら たかひろ,福岡県中間市中鶴3-2-9,34.34020,134.0435,21歳,男,E,2001-10-21,090-5448-1249,バス,130,1550,2400,3
宮本 葉月,みやもと はづき,福岡県福岡市博多区板付1-2-3,33.84188,132.76657,66歳,女,G,1956-12-30,050-9288-3392,自転車,180,1150,2150,1
望月 友美,もちづき ゆみ,東京都墨田区東駒形2-5-1207,33.55951,133.53121,89歳,女,T,1933-07-30,070-5216-7070,電車,170,1900,2300,5
今村 麻衣子,いまむら まいこ,東京都新宿区四谷3-2-10,33.60659,130.41817,47歳,女,C,1975-10-25,050-5438-4530,電車,40,1550,2650,2
石村 充史,いしむら あつし,大阪府大阪市東淀川区小松2-2-6,33.24981,130.29866,27歳,男,E,1996-05-25,080-7366-9956,自転車,160,1650,2450,9
箱崎 雅夫,はこざき まさお,岡山県倉敷市児島唐琴2-2-21,32.74422,129.87377,77歳,男,G,1945-06-12,080-6352-8697,自転車,160,1100,2100,6
原 美月,はら みづき,鹿児島県霧島市国分中央3-3-18,32.78946,130.74189,52歳,女,O,1970-10-22,090-1157-1978,自転車,90,1400,2950,6
荒居 一真,あらい かずま,埼玉県さいたま市南区別所1-4-7,33.2388,131.61214,64歳,その他・不明,B,1958-09-19,070-8187-9334,徒歩,30,1600,2700,6
小林 顕太郎,こばやし けんたろう,東京都杉並区西荻南3-1-3フラット212,31.9116,131.42324,21歳,男,E,2002-05-01,080-9060-6864,バス,100,1200,2200,4
山本 義男,やまもと よしお,神奈川県川崎市幸区南加瀬3-4-1107,31.56036,130.55871,81歳,男,A,1941-10-27,070-4013-0597,バス,180,1750,3000,6
岡本 一隆,おかもと かずたか,北海道札幌市中央区南六条西1-1-506,26.21265,127.68165,33歳,男,F,1990-03-06,070-1899-7363,電車,80,1050,2750,7
角田 伸久,つのだ のぶひさ,愛媛県松山市畑寺2-3-14,34.97641,138.38399,19歳,男,L,2004-02-11,050-7545-8880,電車,170,1400,2700,6
福井 千恵,ふくい ちえ,神奈川県平塚市平塚3-4-506,35.18034,136.90695,52歳,女,F,1970-11-29,050-4568-8946,自転車,70,1200,2150,5
山 博文,やま ひろふみ,北海道札幌市南区川沿三条3-4-22,34.73037,136.50869,7歳,男,G,2016-04-25,050-9471-1406,徒歩,120,1700,2350,7
宇佐美 成美,うさみ なるみ,東京都中央区八丁堀3-1-8,35.00431,135.86822,25歳,女,Q,1998-01-16,050-5820-0563,自転車,80,1450,2600,9
松田 真由子,まつだ まゆこ,東京都中央区日本橋本石町1-3-905,35.02127,135.75528,5歳,女,F,2017-08-20,050-5700-8526,自転車,120,1600,2750,10
縣 武尊,あがた たける,東京都千代田区麹町2-1-6,34.68699,135.52756,85歳,男,A,1937-12-04,050-8833-5778,徒歩,70,1400,2250,2
田辺 有加,たなべ ゆか,東京都墨田区墨田2-4-9,34.69173,135.18390,64歳,女,D,1958-10-22,070-8601-3609,自転車,70,1050,2850,9
松林 陽,まつばやし あきら,山形県山形市長町2-2-21,34.68559,135.8323,77歳,男,H,1945-08-10,080-6786-5172,徒歩,140,1200,2450,1
竹田 清子,たけだ きよこ,東京都渋谷区広尾1-3-202,34.22649,135.16732,21歳,女,R,2002-02-23,090-7485-9127,バス,120,1750,2550,10
桐田 泰大,きりた やすひろ,神奈川県茅ヶ崎市浜竹3-4-15,35.50349,134.23814,8歳,その他・不明,F,2015-05-03,080-3286-2255,バス,40,2000,2450,5
永井 直貴,ながい なおき,東京都中野区新井2-3-6,35.47251,133.05085,30歳,男,O,1992-12-09,070-4868-8102,徒歩,20,1600,2050,4
清水 夢子,しみず ゆめこ,宮城県仙台市泉区南光台1-1-11,34.66179,133.93527,47歳,女,M,1975-08-21,070-0032-0174,自転車,30,1200,2500,3
加藤 美佳,かとう みか,東京都小平市小川西町1-1-9,34.39667,132.45943,79歳,女,T,1943-12-21,090-5172-5698,徒歩,50,1300,2650,8
齋藤 晶子,さいとう しょうこ,東京都港区高輪3-3-19,34.18517,131.47124,82歳,女,G,1941-03-30,090-1252-8457,電車,10,1300,2700,10
長谷川 みなみ,はせがわ みなみ,福岡県大野城市御笠川4-1-7,34.06518,134.55974,21歳,女,R,2002-02-03,090-1316-6329,徒歩,70,1750,2900,3
溝内 拓也,みぞうち たくや,神奈川県川崎市幸区戸手3-3-8,34.34063,134.04327,8歳,男,P,2015-02-27,070-2761-0631,バス,70,2000,2600,3
吉住 里英,よしずみ りえ,北海道札幌市東区北十三条東1-3-21,33.84132,132.76635,43歳,女,T,1980-01-17,090-6225-2277,電車,50,1450,2050,6
岩田 千尋,いわた ちひろ,東京都中野区上鷺宮2-2-206,33.55939,133.53177,6歳,女,R,2016-08-18,090-6779-6809,自転車,130,1550,2200,10
小泉 明子,こいずみ あきこ,東京都千代田区飯田橋2-5-707セントラルハイツ305,33.60686,130.41851,77歳,女,A,1946-04-21,090-4955-0449,自転車,50,1050,2800,2
大井 祐子,おおい ゆうこ,東京都墨田区太平3-3-6アールヴェール108,33.24939,130.29875,39歳,女,C,1983-11-01,050-9383-3946,自転車,40,1400,2250,9
信太 枝里,しだ えり,東京都西東京市田無町1-3-7,32.74481,129.87364,11歳,女,S,2011-09-17,070-5600-3495,電車,110,1300,2250,6
由良 愛,ゆら あい,東京都港区六本木1-5-10,32.78997,130.74114,59歳,女,M,1964-05-12,090-8818-7635,自転車,10,1300,2900,10
内田 剛志,うちだ つよし,長野県長野市吉田2-2-8グランパラッシオ214,33.23837,131.61225,88歳,男,D,1935-02-15,090-8918-5127,電車,160,1250,2600,8
安部 凛,あべ りん,岐阜県岐阜市長住町1-3-9グルーブ212,31.91162,131.42388,50歳,女,D,1972-11-18,050-1124-2150,徒歩,50,1250,2650,7
上田 梓,うえだ あずさ,宮城県仙台市太白区長町南2-5-21シンプルライフ201,31.56060,130.55826,73歳,女,H,1949-08-28,050-6212-8046,電車,80,1950,2700,6
河原 祐司,かわはら ゆうじ,神奈川県横浜市鶴見区潮田町3-4-5,26.21274,127.68164,4歳,男,G,2019-04-30,090-7738-8669,徒歩,130,1550,2150,6
中川 謙一,なかがわ けんいち,東京都葛飾区西水元3-2-807,43.06484,141.34645,15歳,男,F,2007-11-05,070-9819-8480,徒歩,140,1950,2200,8
石川 ひろし,いしかわ ひろし,東京都世田谷区用賀4-2-4,40.82464,140.74316,77歳,男,D,1946-05-02,070-5807-6247,電車,30,1400,3000,7
前田 宏美,まえだ ひろみ,東京都町田市成瀬台3-2-7デュオヒルズ207,39.70367,141.15223,35歳,男,F,1988-01-08,080-1001-1132,電車,30,1450,2900,10
池松 絢香,いけまつ あやか,鹿児島県鹿児島市下荒田3-4-4,38.26882,140.87136,47歳,女,I,1975-07-18,050-7736-5231,バス,70,1200,2250,2
武田 丈史,たけだ たけふみ,福岡県福岡市南区野間4-1-9,39.71885,140.10281,24歳,男,D,1998-10-11,050-3633-9897,バス,160,1150,2650,8
大江 真里,おおえ まり,静岡県磐田市前野23,38.24076,140.36397,56歳,女,R,1966-07-25,090-8370-1445,自転車,40,2000,2150,8
遠藤 武彦,えんどう たけひこ,群馬県安中市原市1-1-3,37.75170,140.46712,78歳,男,J,1945-04-18,090-2628-5135,電車,130,1450,2450,2
米田 幸代,よねだ ゆきよ,神奈川県座間市入谷1-3-5,36.34178,140.44694,41歳,女,H,1982-03-06,090-6377-2405,バス,160,1950,2300,1
宇佐美 高志,うさみ たかし,愛知県名古屋市千種区猫洞通1-2-7,36.56597,139.88396,84歳,男,H,1939-01-29,080-9829-8216,バス,60,1400,2250,9
徳永 信,とくなが しん,東京都新宿区四谷3-2-13,36.39170,139.0601,62歳,男,C,1960-06-11,050-5124-5568,自転車,140,1050,2350,1
藤岡 和哉,ふじおか かずや,福岡県福岡市博多区中洲2-4-10,35.85655,139.64893,23歳,男,K,2000-03-26,050-7708-7893,バス,30,2000,2550,5
井口 学,いぐち まなぶ,大阪府大阪市旭区新森1-1-9,35.60421,140.12340,17歳,男,F,2005-06-11,080-4252-3060,自転車,80,1300,2400,8
村瀬 智久,むらせ ともひさ,東京都港区芝3-4-3,35.68932,139.69199,85歳,男,O,1938-03-06,050-3981-1105,自転車,170,1500,2100,4
安藤 孝寛,あんどう たかひろ,北海道札幌市白石区菊水元町六条1-2-701レスタージュ206,35.44745,139.64218,48歳,男,H,1974-06-14,090-7187-7466,電車,60,1100,2600,2
梅沢 美波,うめざわ みなみ,北海道登別市新生町1-3-206,37.90283,139.02366,9歳,女,R,2013-11-18,080-4751-2734,バス,20,1200,2750,10
西田 和宏,にしだ かずひろ,千葉県大網白里市みどりが丘1-2-3,36.69515,137.21129,76歳,男,R,1947-01-09,050-2631-4456,徒歩,160,1300,2100,3
村上 真人,むらかみ まひと,東京都葛飾区細田2-5-16,36.59438,136.62517,30歳,男,R,1992-10-22,050-7686-6012,バス,140,1350,2350,1
舟田 潤,ふなだ じゆん,大阪府大阪市西区川口3-5-18,36.06581,136.22141,34歳,男,P,1989-01-01,050-4171-5763,徒歩,40,1550,2050,3
大倉 秋,おおくら あき,福井県福井市日之出3-4-13,35.66383,138.56861,9歳,女,O,2013-07-10,070-4966-1649,バス,110,1700,2700,7
藤野 紀人,ふじの のりひと,東京都杉並区南荻窪3-5-3,36.6515,138.18197,65歳,男,F,1958-01-10,090-5880-1310,徒歩,120,1450,2700,3
新井 洋一,あらい よういち,東京都荒川区東尾久1-3-9,35.39133,136.7229,66歳,男,K,1956-09-26,050-3090-1575,自転車,50,1600,2300,2
大城 久,おおしろ ひさし,東京都世田谷区太子堂1-3-7,34.97611,138.3839,91歳,男,G,1932-06-02,050-4705-0395,電車,10,1050,2300,7
宇田 裕子,うだ ゆうこ,熊本県熊本市中央区水前寺2-2-10,35.18010,136.90671,34歳,女,K,1989-01-05,080-5485-8507,電車,110,1400,2100,1
板倉 洋平,いたくら ようへい,千葉県我孫子市青山台4-3-5エフコート306,34.73011,136.50830,83歳,男,H,1939-09-03,080-6623-9124,自転車,30,1050,2600,1
中野 豊,なかの ゆたか,広島県広島市西区高須台1-2-19,35.00470,135.86863,57歳,男,G,1965-12-17,050-3286-8770,徒歩,140,1300,3000,2
渋谷 浩二,しぶや こうじ,福岡県福岡市南区長丘1-1-8,35.02189,135.75574,40歳,男,C,1983-02-06,050-0562-5251,自転車,10,1550,2450,3
石井 翼,いしい つばさ,大阪府吹田市高野台2-4-21,34.68672,135.52744,95歳,男,I,1927-09-01,050-7761-1645,自転車,140,1450,2800,2
上田 健太,うえだ けんた,長野県松本市中央1-2-3,34.69193,135.18363,31歳,その他・不明,Q,1991-12-12,050-6886-9762,自転車,100,1650,2400,8
中村 秀行,なかむら ひでゆき,東京都町田市玉川学園1-2-8,34.68537,135.83260,0歳,男,P,2022-11-17,080-1604-6654,電車,30,1050,2600,7
竹内 正隆,たけうち まさたか,北海道札幌市北区北十条西1-1-9,34.22693,135.16794,80歳,男,B,1943-05-19,080-3919-9378,徒歩,30,1600,2600,7
島田 雅子,しまだ まさこ,東京都板橋区板橋2-5-203,35.5031,134.23875,15歳,女,L,2007-12-05,090-0769-9635,バス,80,2000,2750,8
牛田 道人,うしだ みちひと,愛知県名古屋市中村区名駅3-3-9,35.47279,133.05034,27歳,男,C,1995-06-14,090-2758-5234,電車,160,1850,2800,2
米沢 千明,よねざわ ちあき,東京都小金井市前原町3-1-9,34.66138,133.93547,48歳,女,P,1974-12-20,070-8050-1361,徒歩,120,1700,2800,9
三須 潤,みす じゆん,岡山県岡山市北区伊福町4-1-10マンション201,34.39693,132.45940,13歳,男,O,2009-07-24,050-8308-5715,電車,30,2000,2500,6
遠藤 志織,えんどう しおり,埼玉県越谷市赤山町2-2-8,34.18587,131.47115,12歳,女,B,2011-04-02,090-6535-4342,バス,20,1800,2800,5
佐藤 公亮,さとう こうすけ,大阪府八尾市相生町1-2-11,34.0654,134.55990,42歳,男,O,1981-01-01,090-1716-8232,電車,20,1400,2450,1
齋藤 かおり,さいとう かおり,静岡県磐田市中泉34,34.34050,134.04392,59歳,女,A,1963-11-08,070-2274-6753,自転車,180,1500,2400,2
大堀 達也,おおほり たつや,静岡県焼津市祢宜島45,33.8413,132.76668,74歳,男,J,1949-02-16,050-3364-7248,自転車,110,2000,2050,6
岩瀬 裕輔,いわせ ゆうすけ,兵庫県神戸市東灘区北青木2-1-1202,33.5592,133.53170,59歳,男,T,1963-07-22,070-4206-3137,徒歩,170,1350,2550,8
田尻 ゆりこ,たじり ゆりこ,北海道茅部郡森町字砂原西1-4-17,33.60628,130.41893,36歳,女,M,1986-10-18,080-3108-8958,バス,170,1600,3000,7
荒川 正弘,あらかわ まさひろ,東京都目黒区碑文谷3-5-9,33.24973,130.29864,65歳,男,H,1957-10-16,050-5789-3230,バス,160,1850,2750,7
弘中 寛,ひろなか ひろし,千葉県船橋市西船4-2-9,32.74431,129.87378,59歳,男,P,1963-11-26,080-3090-4779,電車,160,1600,2150,7
河越 公平,かわごえ こうへい,東京都目黒区上目黒1-5-17,32.78945,130.74167,87歳,男,Q,1936-05-17,080-7939-3056,電車,100,1950,2550,7
立原 豊,たちはら ゆたか,新潟県新潟市西区上新栄町1-3-10,33.23871,131.61241,4歳,男,B,2019-03-12,070-0446-3608,自転車,10,1300,2250,8
坂口 聖也,さかぐち せいや,新潟県長岡市蓮潟2-3-6,31.91190,131.42312,50歳,男,O,1972-09-10,080-7569-1007,電車,70,1350,2900,9
藤川 聡,ふじかわ あきら,兵庫県宝塚市平井3-5-101,31.56036,130.55873,51歳,男,N,1972-01-23,090-3611-2148,自転車,70,1500,2600,9
三谷 明恵,みたに あきえ,福岡県福岡市東区箱崎ふ頭1-5-8ラヴェール215,26.21221,127.68116,91歳,女,D,1931-10-19,080-4402-0153,電車,40,1500,2300,8
諏訪 尚彦,すわ なおひこ,福岡県福岡市中央区天神3-4-16,34.97670,138.38390,22歳,男,E,2000-09-03,050-9194-7878,電車,90,1900,2100,1
藤田 誠,ふじた まこと,神奈川県相模原市南区相南3-2-13,35.18018,136.90611,28歳,男,C,1995-03-01,090-5238-1264,徒歩,10,1900,2800,2
中島 博明,なかじま ひろあき,愛知県名古屋市中区栄2-4-4,34.7304,136.50893,72歳,男,D,1950-09-18,050-7045-0816,バス,120,1250,2250,4
福田 隆二,ふくだ りゅうじ,大阪府池田市神田3-3-3,35.00496,135.86827,84歳,男,I,1939-01-22,090-8096-2523,電車,80,1050,2600,1
青木 亜樹,あおき あき,東京都練馬区富士見台1-2-1006フォレスティア410,35.02190,135.75526,86歳,女,O,1937-02-07,050-8721-4434,電車,170,1050,2450,3
武田 丈裕,たけだ たけひろ,神奈川県厚木市中町1-5-20,34.6869,135.52750,54歳,男,P,1968-09-10,070-8181-4089,バス,130,1100,2050,7
小西 崇,こにし たかし,神奈川県川崎市幸区塚越2-2-9,34.69146,135.18397,38歳,男,I,1984-12-17,080-7366-7046,バス,80,1300,3000,5
菅原 健治,すがわら けんじ,大阪府大阪市生野区中川2-1-8マンハイム802,34.68532,135.83248,14歳,男,Q,2008-09-21,080-6759-2208,バス,160,1400,2500,10
竹本 俊光,たけもと としみつ,東京都練馬区東大泉1-3-7,34.22668,135.1676,11歳,男,C,2011-12-14,070-9298-0942,バス,180,1600,2150,6
河原 千賀,かわはら ちか,東京都八王子市散田町1-1-20,35.50362,134.23887,72歳,女,K,1950-10-06,080-3051-1475,バス,160,1150,2800,10
菅原 文隆,すがわら ふみたか,東京都世田谷区奥沢1-2-7,35.47247,133.05055,46歳,男,Q,1976-08-02,070-5495-0485,徒歩,50,1250,2950,8
稲井 歩美,いない あゆみ,東京都調布市布田2-3-17,34.6611,133.9353,26歳,女,Q,1997-05-28,070-9040-1994,バス,20,1050,2250,3
青山 玲,あおやま れい,神奈川県横浜市港北区新吉田東1-1-10,34.3964,132.45974,56歳,その他・不明,N,1966-11-08,050-7131-7988,自転車,80,1200,2750,5
村上 聖太,むらかみ しょうた,神奈川県川崎市幸区戸手2-3-7,34.18558,131.47126,2歳,男,C,2020-08-28,090-8668-0571,バス,160,1750,2100,8
猪岡 啓介,いのおか けいすけ,兵庫県神戸市灘区備後町1-1-7,34.06578,134.55976,2歳,男,E,2020-10-25,080-3645-1712,電車,90,1450,2100,6
石井 邦彦,いしい くにひこ,東京都台東区台東1-3-101メイツ712,34.34047,134.04348,51歳,男,E,1971-06-10,070-1950-1463,徒歩,20,1100,2700,9
中島 秀明,なかじま ひであき,青森県弘前市大字大清水3-5-16,33.84180,132.76626,61歳,男,R,1962-04-16,050-3132-5637,徒歩,30,1100,2500,9
阿曽 憲司,あそ けんじ,東京都品川区東五反田1-1-10オークス411,33.55972,133.53132,84歳,男,I,1939-01-31,070-6822-5428,自転車,70,1050,2100,7
足立 幸子,あだち さちこ,福岡県福岡市東区多の津2-5-5,33.60616,130.41835,5歳,女,P,2017-09-16,050-3947-4426,バス,50,1650,2050,6
新見 周平,にいみ しゅうへい,大阪府大阪市天王寺区大道4-2-6ランフォルセ403,33.24976,130.29834,98歳,男,O,1925-02-10,070-7917-1183,自転車,110,1350,2750,10
青木 敦子,あおき あつこ,宮城県仙台市宮城野区榴岡4-3-8,32.7446,129.87397,57歳,女,G,1965-12-19,050-0422-2731,電車,110,1150,2850,3
山田 和也,やまだ かずや,北海道札幌市北区北十九条西3-3-201,32.78929,130.74152,41歳,男,O,1982-02-14,070-3783-7771,バス,30,1400,2400,1
谷口 史恵,たにぐち ふみえ,宮崎県日南市戸高3-2-9,33.23828,131.61212,96歳,女,L,1926-12-30,080-0547-5700,電車,40,1350,2100,5
石田 敬介,いしだ けいすけ,神奈川県横浜市中区相生町2-3-12,31.91144,131.42379,75歳,男,E,1948-01-28,050-5404-4702,自転車,100,1400,2350,9
本田 智哉,ほんだ ともや,愛媛県今治市小泉3-3-9グランスイート103,31.56094,130.55889,3歳,男,C,2019-10-26,070-2931-0306,電車,140,1400,2150,9
笠井 哲雄,かさい てつお,東京都品川区荏原1-4-10,26.21272,127.68120,46歳,男,K,1976-06-06,050-7700-5762,電車,100,1400,2100,3
杉山 龍男,すぎやま たつお,神奈川県相模原市南区麻溝台1-1-9オークヒルズ810,34.97676,138.38389,31歳,男,M,1991-08-15,070-4199-5358,徒歩,70,1900,2250,1
野田 京,のだ きょう,神奈川県川崎市多摩区西生田3-1-13,35.18081,136.90657,51歳,男,N,1972-02-08,090-2846-7465,電車,20,1950,2650,10
鳥巣 昌宏,とりす まさひろ,滋賀県大津市大江3-5-10サンヴェール709,34.73057,136.50812,7歳,男,S,2016-05-15,070-8779-3383,電車,160,1750,2700,6
本田 洋介,ほんだ ようすけ,東京都練馬区氷川台3-4-9,35.00495,135.86857,92歳,男,C,1930-08-11,050-2087-0239,バス,180,1950,2750,2
冨川 大輔,とみかわ だいすけ,愛知県春日井市八光町3-5-1104,35.02149,135.75536,54歳,男,H,1968-08-21,080-9184-2258,バス,110,1550,2850,10
倉本 弘美,くらもと ひろみ,東京都北区中十条2-2-8ファミーユ503,34.68649,135.52794,15歳,女,Q,2007-09-11,050-3292-2743,徒歩,130,1950,2650,2
中島 翔太,なかじま しょうた,神奈川県横浜市鶴見区下末吉3-5-1204ギャラリーコート204,34.69162,135.18329,6歳,男,F,2017-03-30,090-6176-8415,徒歩,10,1750,2750,1
大林 将英,おおばやし まさひで,東京都港区虎ノ門3-2-5,34.6851,135.83225,45歳,男,R,1977-12-08,090-9197-3953,自転車,50,1300,2300,2
安本 健司,やすもと けんじ,千葉県船橋市本町2-1-19,34.22625,135.16734,40歳,男,E,1982-08-03,080-3671-4692,バス,170,1300,2750,8
清川 恵理,きよかわ えり,群馬県桐生市宮本町3-4-11,35.50360,134.23823,17歳,女,P,2005-07-08,050-7106-2577,自転車,120,1950,2200,3
